Group.1 tBodyAcc.mean...X tBodyAcc.mean...Y tBodyAcc.mean...Z tBodyAcc.std...X tBodyAcc.std...Y tBodyAcc.std...Z tGravityAcc.mean...X tGravityAcc.mean...Y tGravityAcc.mean...Z tGravityAcc.std...X tGravityAcc.std...Y tGravityAcc.std...Z tBodyAccJerk.mean...X tBodyAccJerk.mean...Y tBodyAccJerk.mean...Z tBodyAccJerk.std...X tBodyAccJerk.std...Y tBodyAccJerk.std...Z tBodyGyro.mean...X tBodyGyro.mean...Y tBodyGyro.mean...Z tBodyGyro.std...X tBodyGyro.std...Y tBodyGyro.std...Z tBodyGyroJerk.mean...X tBodyGyroJerk.mean...Y tBodyGyroJerk.mean...Z tBodyGyroJerk.std...X tBodyGyroJerk.std...Y tBodyGyroJerk.std...Z tBodyAccMag.mean.. tBodyAccMag.std.. tGravityAccMag.mean.. tGravityAccMag.std.. tBodyAccJerkMag.mean.. tBodyAccJerkMag.std.. tBodyGyroMag.mean.. tBodyGyroMag.std.. tBodyGyroJerkMag.mean.. tBodyGyroJerkMag.std.. fBodyAcc.mean...X fBodyAcc.mean...Y fBodyAcc.mean...Z fBodyAcc.std...X fBodyAcc.std...Y fBodyAcc.std...Z fBodyAccJerk.mean...X fBodyAccJerk.mean...Y fBodyAccJerk.mean...Z fBodyAccJerk.std...X fBodyAccJerk.std...Y fBodyAccJerk.std...Z fBodyGyro.mean...X fBodyGyro.mean...Y fBodyGyro.mean...Z fBodyGyro.std...X fBodyGyro.std...Y fBodyGyro.std...Z fBodyAccMag.mean.. fBodyAccMag.std.. fBodyBodyAccJerkMag.mean.. fBodyBodyAccJerkMag.std.. fBodyBodyGyroMag.mean.. fBodyBodyGyroMag.std.. fBodyBodyGyroJerkMag.mean.. fBodyBodyGyroJerkMag.std..
21                 0.2774665          -0.01766646        -0.1087785         -0.6723239         -0.56558519        -0.6696218          0.6457760         -0.07509631         0.03218518        -0.9655866         -0.9693308         -0.9530940         0.08222079         0.0035010755       -0.0106590727      -0.69976334        -0.66515912        -0.7818239         -0.0276346639      -0.07847197        0.08612127         -0.7961723         -0.7650578         -0.7016420         -0.10055832        -0.04082361        -0.05338610        -0.7924832         -0.8158593         -0.8120173         -0.6203093         -0.6601960         -0.6203093         -0.6601960         -0.7034613         -0.68006922        -0.6937792         -0.7613031         -0.8078174         -0.8240899         -0.69348610        -0.59377821        -0.7077138         -0.6653497         -0.578748587       -0.6755882         -0.71641413        -0.6786151         -0.7673520         -0.70980073        -0.67410236        -0.7949228         -0.7520408         -0.7593257         -0.7094714         -0.8110267         -0.7713883         -0.7283193         -0.6586647         -0.71434574        -0.679742585       -0.68372513        -0.7764731         -0.7931585         -0.8262750         -0.8349499        
22                 0.2747677          -0.01682736        -0.1086704         -0.5460900         -0.49118843        -0.6550897          0.6093909          0.03150987         0.23588786        -0.9585045         -0.9573231         -0.9390810         0.07910311         0.0152572467       -0.0072287330      -0.58496376        -0.56047012        -0.7604684         -0.0080063064      -0.09496611        0.08124066         -0.6959192         -0.7840523         -0.6544580         -0.10925756        -0.03846162        -0.05821443        -0.7088987         -0.8599244         -0.7422728         -0.5040992         -0.5959539         -0.5040992         -0.5959539         -0.6097728         -0.58982314        -0.6376661         -0.6763786         -0.7946813         -0.8264934         -0.59492965        -0.50817278        -0.6873210         -0.5289588         -0.515580973       -0.6655170         -0.60425320        -0.5743181         -0.7397018         -0.60245799        -0.57639181        -0.7802527         -0.6395757         -0.7913997         -0.6433633         -0.7149779         -0.7820461         -0.6906794         -0.5743332         -0.67389621        -0.585442502       -0.59928688        -0.7281668         -0.6996001         -0.8301920         -0.8355972        
23                 0.2734933          -0.01958926        -0.1090940         -0.6225940         -0.53207855        -0.4505572          0.6623247          0.01462092         0.05186625        -0.9643930         -0.9603189         -0.9342361         0.07785882         0.0200470965       -0.0007176809      -0.60818375        -0.61898123        -0.6030488         -0.0220890418      -0.08259730        0.07469494         -0.7557386         -0.5003382         -0.6096835         -0.09669907        -0.04327227        -0.06219591        -0.7286921         -0.5460436         -0.7405181         -0.5327548         -0.5655756         -0.5327548         -0.5655756         -0.5864007         -0.55872531        -0.5442080         -0.5419491         -0.6234126         -0.5739429         -0.59908089        -0.54848321        -0.4902128         -0.6338391         -0.554471680       -0.4747675         -0.61752184        -0.6282313         -0.5788708         -0.63505435        -0.63697761        -0.6275404         -0.6851365         -0.4977838         -0.6176854         -0.7791971         -0.5078505         -0.6441310         -0.5290293         -0.65704892        -0.542663319       -0.58383231        -0.5346572         -0.6322885         -0.5841110         -0.5937353        
24                 0.2767670          -0.01768225        -0.1079145         -0.6754592         -0.58249066        -0.6364975          0.6949813          0.07295097         0.06232277        -0.9753297         -0.9608982         -0.9557246         0.07847350         0.0039690031       -0.0070096056      -0.74030054        -0.68597980        -0.7363742         -0.0212578097      -0.07824402        0.08417404         -0.7761990         -0.7633655         -0.7082517         -0.09982942        -0.03907494        -0.05529877        -0.7644900         -0.7927187         -0.7968165         -0.6200327         -0.6508621         -0.6200327         -0.6508621         -0.7136674         -0.68939119        -0.6824472         -0.7429831         -0.7916466         -0.7889979         -0.70761378        -0.61150904        -0.6558590         -0.6643567         -0.594676790       -0.6553605         -0.75224537        -0.7036416         -0.7196557         -0.75137815        -0.68828046        -0.7516287         -0.7226074         -0.7537105         -0.7094886         -0.7940635         -0.7719698         -0.7357499         -0.6501219         -0.70592843        -0.696845583       -0.68244715        -0.7541316         -0.7820763         -0.7950192         -0.7961573        
25                 0.2753015          -0.01932218        -0.1096290         -0.7162645         -0.53142104        -0.6470956          0.6723866          0.04716014         0.23922604        -0.9500171         -0.9010888         -0.8806823         0.08176574         0.0063863388       -0.0103461715      -0.79682335        -0.72250292        -0.8606694         -0.0029815116      -0.08390035        0.09936061         -0.6831320         -0.7522610         -0.7474102         -0.10826388        -0.03898848        -0.05557822        -0.7686825         -0.9026281         -0.8318487         -0.5833777         -0.6590155         -0.5833777         -0.6590155         -0.7834454         -0.78045187        -0.6257331         -0.6851528         -0.8496307         -0.8727762         -0.74841651        -0.60002770        -0.7385099         -0.7052237         -0.529064652       -0.6302246         -0.80414464        -0.7405703         -0.8495048         -0.80771253        -0.72170767        -0.8705415         -0.6721978         -0.8131338         -0.7468322         -0.6903985         -0.7235844         -0.7712089         -0.6950197         -0.69536793        -0.779190076       -0.78354723        -0.7542361         -0.6972131         -0.8759707         -0.8777150        
26                 0.2730366          -0.01616873        -0.1076379         -0.6231010         -0.58596714        -0.7049806          0.6151235          0.10870478         0.23410701        -0.9678179         -0.9597136         -0.9556434         0.08087433         0.0076770998       -0.0072489194      -0.68281565        -0.67838658        -0.7783495         -0.0206599321      -0.08274151        0.09178533         -0.7666740         -0.8006755         -0.7033472         -0.09881256        -0.04047640        -0.05582827        -0.7323214         -0.8361122         -0.7731015         -0.6009323         -0.6203558         -0.6009323         -0.6203558         -0.6949179         -0.67742634        -0.6945977         -0.7518337         -0.7983259         -0.8182791         -0.65109030        -0.61042583        -0.7240461         -0.6134996         -0.600274810       -0.7184905         -0.69941317        -0.6967265         -0.7695653         -0.69431452        -0.68035806        -0.7860491         -0.7031096         -0.7993531         -0.6894048         -0.7874031         -0.8036353         -0.7359424         -0.6317570         -0.67391780        -0.679278324       -0.67802576        -0.7705049         -0.7826243         -0.8238653         -0.8239914        
27                 0.2772646          -0.01679692        -0.1108483         -0.6609761         -0.63046049        -0.6832153          0.6272301          0.03224239         0.14116870        -0.9746202         -0.9725052         -0.9592004         0.07683204         0.0061771499       -0.0049500061      -0.70054997        -0.67479229        -0.7836321         -0.0608887603      -0.05521779        0.10894709         -0.7958536         -0.8020487         -0.6741285         -0.08930660        -0.04504145        -0.05862547        -0.8210758         -0.8373202         -0.7829456         -0.6279477         -0.6778742         -0.6279477         -0.6778742         -0.7018074         -0.69600335        -0.6940160         -0.7547133         -0.8230677         -0.8372129         -0.68145480        -0.64126784        -0.7154829         -0.6546594         -0.649506675       -0.6921308         -0.71455468        -0.6945097         -0.7685745         -0.71285796        -0.67574479        -0.7973034         -0.7685057         -0.7954340         -0.7027885         -0.8062884         -0.8087918         -0.6971473         -0.6671858         -0.73488306        -0.688572791       -0.70753137        -0.7859536         -0.7778104         -0.8375860         -0.8482600        
28                 0.2775326          -0.01917214        -0.1097109         -0.6490404         -0.57365190        -0.6858214          0.6237679         -0.14757776        -0.04699310        -0.9738733         -0.9603656         -0.9462256         0.08072631         0.0138224437        0.0008242083      -0.68081373        -0.65161985        -0.8008706         -0.0644963546      -0.04714740        0.10084028         -0.7402766         -0.7412855         -0.6697897         -0.08812136        -0.04479726        -0.06076807        -0.7205157         -0.8250388         -0.7697560         -0.6100309         -0.6358212         -0.6100309         -0.6358212         -0.6894294         -0.68770343        -0.6485386         -0.7109568         -0.7892949         -0.8057384         -0.65415652        -0.58493250        -0.7151345         -0.6478072         -0.595110473       -0.6957673         -0.68672380        -0.6707181         -0.7790617         -0.70407338        -0.65485592        -0.8217155         -0.6743567         -0.7470679         -0.6735139         -0.7620310         -0.7408195         -0.7002913         -0.6287632         -0.69699400        -0.675428720       -0.70641583        -0.7379081         -0.7437846         -0.8068822         -0.8184485        
29                 0.2791115          -0.01847195        -0.1086756         -0.5742954         -0.59840028        -0.6064613          0.6830676          0.11548976         0.20821537        -0.9732829         -0.9646432         -0.9416218         0.07883823         0.0090016125       -0.0035529054      -0.62345641        -0.63549978        -0.7937468         -0.0101831911      -0.08828833        0.08816263         -0.7346993         -0.6345692         -0.7138646         -0.10070775        -0.04643220        -0.05278600        -0.7361177         -0.8536396         -0.7702213         -0.5535856         -0.5790672         -0.5535856         -0.5790672         -0.6645381         -0.62047205        -0.6022290         -0.6537323         -0.8022939         -0.8401564         -0.57990100        -0.58768631        -0.6805477         -0.5727879         -0.630978845       -0.6025509         -0.62987585        -0.6412891         -0.7684339         -0.65156419        -0.65552612        -0.8182928         -0.6857474         -0.7359723         -0.6892214         -0.7525678         -0.5888580         -0.7491632         -0.5892940         -0.63931418        -0.609879937       -0.63643447        -0.7220184         -0.6714543         -0.8404642         -0.8514624        
30                 0.2763058          -0.01758561        -0.1058936         -0.6158908         -0.51904739        -0.5226433          0.6968582          0.05126982         0.18434318        -0.9743191         -0.9522883         -0.9294326         0.07347993         0.0073043826       -0.0006538719      -0.67900725        -0.66077055        -0.7816445         -0.0354229280      -0.07174825        0.08345446         -0.6710058         -0.5389907         -0.5897834         -0.09267690        -0.04129038        -0.04935562        -0.7806364         -0.7989481         -0.7632285         -0.5381312         -0.5881581         -0.5381312         -0.5881581         -0.6970501         -0.65897215        -0.5100328         -0.5737794         -0.7858709         -0.8103985         -0.63565013        -0.55849001        -0.6349585         -0.6092389         -0.531321492       -0.5065704         -0.68530777        -0.6716737         -0.7554322         -0.70187921        -0.67262202        -0.8071849         -0.6674182         -0.6299107         -0.6156993         -0.6768020         -0.4963104         -0.6202534         -0.6003721         -0.64652281        -0.656339724       -0.66460026        -0.6696005         -0.5891927         -0.8112923         -0.8228056        
